pod_name,task_size_range,task_size,recommended_cpu_frequency,current_cpu_frequency,execution_time
pod1,"[1, 2000]",2000,600000,600000,0.130454
pod1,"[1, 2000]",2000,600000,600000,0.132257
pod1,"[1, 2000]",2000,600000,600000,0.129839
pod1,"[1, 2000]",2000,600000,600000,0.133383
pod1,"[1, 2000]",2000,600000,600000,0.125667
pod1,"[1, 2000]",2000,600000,600000,0.132917
pod1,"[1, 2000]",2000,600000,600000,0.126769
pod1,"[1, 2000]",2000,600000,600000,0.124512
pod1,"[1, 2000]",2000,600000,600000,0.124912
pod1,"[1, 2000]",2000,600000,600000,0.12385
pod1,"[1, 4000]",4000,600000,600000,0.240365
pod1,"[1, 4000]",4000,600000,600000,0.251947
pod1,"[1, 4000]",4000,600000,600000,0.254757
pod1,"[1, 4000]",4000,600000,600000,0.246449
pod1,"[1, 4000]",4000,600000,600000,0.240652
pod1,"[1, 4000]",4000,600000,600000,0.242442
pod1,"[1, 4000]",4000,600000,600000,0.242698
pod1,"[1, 4000]",4000,600000,600000,0.247436
pod1,"[1, 4000]",4000,600000,600000,0.245487
pod1,"[1, 4000]",4000,600000,600000,0.245836
pod1,"[1, 6000]",6000,600000,600000,0.368085
pod1,"[1, 6000]",6000,600000,600000,0.357325
pod1,"[1, 6000]",6000,600000,600000,0.359401
pod1,"[1, 6000]",6000,600000,600000,0.357741
pod1,"[1, 6000]",6000,600000,600000,0.357442
pod1,"[1, 6000]",6000,600000,600000,0.351142
pod1,"[1, 6000]",6000,600000,600000,0.375619
pod1,"[1, 6000]",6000,600000,600000,0.355068
pod1,"[1, 6000]",6000,600000,600000,0.356426
pod1,"[1, 6000]",6000,600000,600000,0.358247
pod1,"[1, 8000]",8000,600000,600000,0.497809
pod1,"[1, 8000]",8000,600000,600000,0.488363
pod1,"[1, 8000]",8000,600000,600000,0.473981
pod1,"[1, 8000]",8000,600000,600000,0.491044
pod1,"[1, 8000]",8000,600000,600000,0.461013
pod1,"[1, 8000]",8000,600000,600000,0.49063
pod1,"[1, 8000]",8000,600000,600000,0.482948
pod1,"[1, 8000]",8000,600000,600000,0.48296
pod1,"[1, 8000]",8000,600000,600000,0.469199
pod1,"[1, 8000]",8000,600000,600000,0.46531
pod1,"[1, 10000]",10000,600000,600000,0.60139
pod1,"[1, 10000]",10000,600000,600000,0.584134
pod1,"[1, 10000]",10000,600000,600000,0.588963
pod1,"[1, 10000]",10000,600000,600000,0.584333
pod1,"[1, 10000]",10000,600000,600000,0.580578
pod1,"[1, 10000]",10000,600000,600000,0.607496
pod1,"[1, 10000]",10000,600000,600000,0.596293
pod1,"[1, 10000]",10000,600000,600000,0.592873
pod1,"[1, 10000]",10000,600000,600000,0.605059
pod1,"[1, 10000]",10000,600000,600000,0.58618
