pod_name,task_size_range,task_size,recommended_cpu_frequency,current_cpu_frequency,execution_time
pod2,"[2001, 20000]",18000,1800000,1800000,0.347561
pod2,"[2001, 20000]",18000,1800000,1800000,0.359608
pod2,"[2001, 20000]",18000,1800000,1800000,0.350381
pod2,"[2001, 20000]",18000,1800000,1800000,0.349374
pod2,"[2001, 20000]",18000,1800000,1800000,0.345413
pod2,"[2001, 20000]",18000,1800000,1800000,0.344151
pod2,"[2001, 20000]",18000,1800000,1800000,0.350678
pod2,"[2001, 20000]",18000,1800000,1800000,0.348416
pod2,"[2001, 20000]",18000,1800000,1800000,0.349156
pod2,"[2001, 20000]",18000,1800000,1800000,0.3446
pod2,"[4001, 20000]",16000,1800000,1800000,0.311794
pod2,"[4001, 20000]",16000,1800000,1800000,0.313636
pod2,"[4001, 20000]",16000,1800000,1800000,0.319422
pod2,"[4001, 20000]",16000,1800000,1800000,0.311027
pod2,"[4001, 20000]",16000,1800000,1800000,0.312653
pod2,"[4001, 20000]",16000,1800000,1800000,0.30826
pod2,"[4001, 20000]",16000,1800000,1800000,0.307748
pod2,"[4001, 20000]",16000,1800000,1800000,0.315183
pod2,"[4001, 20000]",16000,1800000,1800000,0.307574
pod2,"[4001, 20000]",16000,1800000,1800000,0.307725
pod2,"[6001, 20000]",14000,1800000,1800000,0.269213
pod2,"[6001, 20000]",14000,1800000,1800000,0.268905
pod2,"[6001, 20000]",14000,1800000,1800000,0.270564
pod2,"[6001, 20000]",14000,1800000,1800000,0.271919
pod2,"[6001, 20000]",14000,1800000,1800000,0.277701
pod2,"[6001, 20000]",14000,1800000,1800000,0.26831
pod2,"[6001, 20000]",14000,1800000,1800000,0.272974
pod2,"[6001, 20000]",14000,1800000,1800000,0.271959
pod2,"[6001, 20000]",14000,1800000,1800000,0.270179
pod2,"[6001, 20000]",14000,1800000,1800000,0.269687
pod2,"[8001, 20000]",12000,1800000,1800000,0.233307
pod2,"[8001, 20000]",12000,1800000,1800000,0.232468
pod2,"[8001, 20000]",12000,1800000,1800000,0.232402
pod2,"[8001, 20000]",12000,1800000,1800000,0.233735
pod2,"[8001, 20000]",12000,1800000,1800000,0.23231
pod2,"[8001, 20000]",12000,1800000,1800000,0.237959
pod2,"[8001, 20000]",12000,1800000,1800000,0.234737
pod2,"[8001, 20000]",12000,1800000,1800000,0.233911
pod2,"[8001, 20000]",12000,1800000,1800000,0.23502
pod2,"[8001, 20000]",12000,1800000,1800000,0.239495
pod2,"[10001, 20000]",10000,1800000,1800000,0.199721
pod2,"[10001, 20000]",10000,1800000,1800000,0.199647
pod2,"[10001, 20000]",10000,1800000,1800000,0.196682
pod2,"[10001, 20000]",10000,1800000,1800000,0.196201
pod2,"[10001, 20000]",10000,1800000,1800000,0.195463
pod2,"[10001, 20000]",10000,1800000,1800000,0.19775
pod2,"[10001, 20000]",10000,1800000,1800000,0.195821
pod2,"[10001, 20000]",10000,1800000,1800000,0.194915
pod2,"[10001, 20000]",10000,1800000,1800000,0.194893
pod2,"[10001, 20000]",10000,1800000,1800000,0.192183
