pod_name,task_size_range,task_size,recommended_cpu_frequency,current_cpu_frequency,execution_time
pod1,"[101, 10000]",9900,1800000,1800000,0.200694
pod1,"[101, 10000]",9900,1800000,1800000,0.192985
pod1,"[101, 10000]",9900,1800000,1800000,0.19895
pod1,"[101, 10000]",9900,1800000,1800000,0.19244
pod1,"[101, 10000]",9900,1800000,1800000,0.197489
pod1,"[101, 10000]",9900,1800000,1800000,0.193218
pod1,"[101, 10000]",9900,1800000,1800000,0.209444
pod1,"[101, 10000]",9900,1800000,1800000,0.194188
pod1,"[101, 10000]",9900,1800000,1800000,0.195117
pod1,"[101, 10000]",9900,1800000,1800000,0.194907
pod1,"[1, 2000]",2000,1800000,1800000,0.043006
pod1,"[1, 2000]",2000,1800000,1800000,0.043016
pod1,"[1, 2000]",2000,1800000,1800000,0.041777
pod1,"[1, 2000]",2000,1800000,1800000,0.042714
pod1,"[1, 2000]",2000,1800000,1800000,0.04262
pod1,"[1, 2000]",2000,1800000,1800000,0.041672
pod1,"[1, 2000]",2000,1800000,1800000,0.042615
pod1,"[1, 2000]",2000,1800000,1800000,0.044379
pod1,"[1, 2000]",2000,1800000,1800000,0.042427
pod1,"[1, 2000]",2000,1800000,1800000,0.041897
pod1,"[1, 2000]",2000,1800000,1800000,0.042471
pod1,"[1, 2000]",2000,1800000,1800000,0.042222
pod1,"[1, 4000]",4000,1800000,1800000,0.080534
pod1,"[1, 4000]",4000,1800000,1800000,0.081145
pod1,"[1, 4000]",4000,1800000,1800000,0.081782
pod1,"[1, 4000]",4000,1800000,1800000,0.079601
pod1,"[1, 4000]",4000,1800000,1800000,0.080963
pod1,"[1, 4000]",4000,1800000,1800000,0.081966
pod1,"[1, 4000]",4000,1800000,1800000,0.081591
pod1,"[1, 4000]",4000,1800000,1800000,0.080965
pod1,"[1, 4000]",4000,1800000,1800000,0.080602
pod1,"[1, 4000]",4000,1800000,1800000,0.083045
pod1,"[1, 4000]",4000,1800000,1800000,0.080651
pod1,"[1, 4000]",4000,1800000,1800000,0.08083
pod1,"[1, 4000]",4000,1800000,1800000,0.079279
pod1,"[1, 4000]",4000,1800000,1800000,0.083352
pod1,"[1, 4000]",4000,1800000,1800000,0.079486
pod1,"[1, 4000]",4000,1800000,1800000,0.082657
pod1,"[1, 4000]",4000,1800000,1800000,0.080858
pod1,"[1, 4000]",4000,1800000,1800000,0.079599
pod1,"[1, 4000]",4000,1800000,1800000,0.079633
pod1,"[1, 4000]",4000,1800000,1800000,0.080951
pod1,"[1, 4000]",4000,1800000,1800000,0.08012
pod1,"[1, 4000]",4000,1800000,1800000,0.085478
pod1,"[1, 6000]",6000,1800000,1800000,0.11877
pod1,"[1, 6000]",6000,1800000,1800000,0.11758
pod1,"[1, 6000]",6000,1800000,1800000,0.117743
pod1,"[1, 6000]",6000,1800000,1800000,0.118192
pod1,"[1, 6000]",6000,1800000,1800000,0.118591
pod1,"[1, 2000]",6000,1800000,1800000,0.042706
pod1,"[1, 2000]",2000,1800000,1800000,0.041293
pod1,"[1, 2000]",2000,1800000,1800000,0.041594
pod1,"[1, 2000]",2000,1800000,1800000,0.041995
pod1,"[1, 2000]",2000,1800000,1800000,0.042402
pod1,"[1, 2000]",2000,1800000,1800000,0.042805
pod1,"[1, 2000]",2000,1800000,1800000,0.043412
pod1,"[1, 2000]",2000,1800000,1800000,0.043253
pod1,"[1, 2000]",2000,1800000,1800000,0.041942
pod1,"[1, 2000]",2000,1800000,1800000,0.041541
pod1,"[1, 2000]",2000,1800000,1800000,0.041544
pod1,"[1, 2000]",2000,1800000,1800000,0.043005
pod1,"[1, 2000]",2000,600000,600000,0.130454
pod1,"[1, 2000]",2000,600000,600000,0.132257
pod1,"[1, 2000]",2000,600000,600000,0.129839
pod1,"[1, 2000]",2000,600000,600000,0.133383
pod1,"[1, 2000]",2000,600000,600000,0.125667
pod1,"[1, 2000]",2000,600000,600000,0.132917
pod1,"[1, 2000]",2000,600000,600000,0.126769
pod1,"[1, 2000]",2000,600000,600000,0.124512
pod1,"[1, 2000]",2000,600000,600000,0.124912
pod1,"[1, 2000]",2000,600000,600000,0.12385
pod1,"[1, 4000]",4000,600000,600000,0.240365
pod1,"[1, 4000]",4000,600000,600000,0.251947
pod1,"[1, 4000]",4000,600000,600000,0.254757
pod1,"[1, 4000]",4000,600000,600000,0.246449
pod1,"[1, 4000]",4000,600000,600000,0.240652
pod1,"[1, 4000]",4000,600000,600000,0.242442
pod1,"[1, 4000]",4000,600000,600000,0.242698
pod1,"[1, 4000]",4000,600000,600000,0.247436
pod1,"[1, 4000]",4000,600000,600000,0.245487
pod1,"[1, 4000]",4000,600000,600000,0.245836
pod1,"[1, 6000]",6000,600000,600000,0.368085
pod1,"[1, 6000]",6000,600000,600000,0.357325
pod1,"[1, 6000]",6000,600000,600000,0.359401
pod1,"[1, 6000]",6000,600000,600000,0.357741
pod1,"[1, 6000]",6000,600000,600000,0.357442
pod1,"[1, 6000]",6000,600000,600000,0.351142
pod1,"[1, 6000]",6000,600000,600000,0.375619
pod1,"[1, 6000]",6000,600000,600000,0.355068
pod1,"[1, 6000]",6000,600000,600000,0.356426
pod1,"[1, 6000]",6000,600000,600000,0.358247
