pod_name,task_size_range,task_size,recommended_cpu_frequency,current_cpu_frequency,execution_time
pod1,"[131413, 688585]",557173,1800000,1800000,10.608034
pod1,"[131413, 688585]",557173,1800000,1800000,10.533769
pod1,"[131413, 688585]",557173,1800000,1800000,10.621526
pod1,"[131413, 688585]",557173,1800000,1800000,10.660851
pod1,"[131413, 688585]",557173,1800000,1800000,10.449659
pod1,"[131413, 688585]",557173,1800000,1800000,10.5455
pod1,"[131413, 688585]",557173,1800000,1800000,10.547597
pod1,"[131413, 688585]",557173,1800000,1800000,10.537174
pod1,"[131413, 688585]",557173,1800000,1800000,10.557245
pod1,"[1, 100]",100,700000,700000,0.0132
pod1,"[1, 100]",100,700000,700000,0.012954
pod1,"[1, 100]",100,700000,700000,0.013257
pod1,"[1, 100]",100,700000,700000,0.01335
pod1,"[1, 100]",100,700000,700000,0.013583
pod1,"[1, 100]",100,700000,700000,0.013252
pod1,"[1, 100]",100,700000,700000,0.013088
pod1,"[1, 100]",100,700000,700000,0.012757
pod1,"[1, 100]",100,700000,700000,0.013442
pod1,"[1, 100]",100,700000,700000,0.0131
pod1,"[1, 100]",100,700000,700000,0.013236
pod1,"[1, 100]",100,700000,700000,0.013026
pod1,"[1, 100]",100,700000,700000,0.013189
pod1,"[1, 100]",100,700000,700000,0.013962
pod1,"[1, 100]",100,700000,700000,0.013428
pod1,"[1, 100]",100,700000,700000,0.012844
pod1,"[1, 100]",100,700000,700000,0.012683
pod1,"[1, 100]",100,700000,700000,0.013302
pod1,"[1, 100]",100,700000,700000,0.012892
pod1,"[1, 100]",100,700000,700000,0.014142
pod1,"[1, 100]",100,700000,700000,0.013074
pod1,"[1, 100]",100,700000,700000,0.013196
pod1,"[1, 100]",100,700000,700000,0.013533
pod1,"[1, 100]",100,700000,700000,0.014307
pod1,"[1, 100]",100,700000,700000,0.013021
pod1,"[1, 100]",100,700000,700000,0.013228
pod1,"[1, 100]",100,700000,700000,0.013629
pod1,"[1, 100]",100,700000,700000,0.015783
pod1,"[1, 100]",100,700000,700000,0.013174
pod1,"[1, 100]",100,700000,700000,0.013228
pod1,"[1, 100]",100,700000,700000,0.013136
pod1,"[1, 100]",100,700000,700000,0.013059
pod1,"[1, 100]",100,700000,700000,0.013457
pod1,"[1, 100]",100,700000,700000,0.013108
pod1,"[1, 100]",100,700000,700000,0.013125
pod1,"[1, 100]",100,700000,700000,0.015595
pod1,"[1, 100]",100,700000,700000,0.013168
pod1,"[1, 100]",100,700000,700000,0.0131
pod1,"[1, 1000]",1000,700000,700000,0.058258
pod1,"[1, 1000]",1000,700000,700000,0.056987
pod1,"[1, 1000]",1000,700000,700000,0.059184
pod1,"[1, 1000]",1000,700000,700000,0.057546
pod1,"[1, 1000]",1000,700000,700000,0.056875
pod1,"[1, 1000]",1000,700000,700000,0.056663
pod1,"[1, 1000]",1000,700000,700000,0.059346
pod1,"[1, 1000]",1000,700000,700000,0.058814
pod1,"[1, 1000]",1000,700000,700000,0.059675
pod1,"[1, 1000]",1000,700000,700000,0.059884
pod1,"[1, 1000]",1000,700000,700000,0.056996
pod1,"[1, 1000]",1000,700000,700000,0.058387
pod1,"[1, 1000]",1000,700000,700000,0.05606
pod1,"[1, 1000]",1000,700000,700000,0.05957
pod1,"[1, 1000]",1000,700000,700000,0.060511
pod1,"[1, 1000]",1000,700000,700000,0.058691
pod1,"[1, 1000]",1000,700000,700000,0.056709
pod1,"[1, 1000]",1000,700000,700000,0.059409
pod1,"[1, 1000]",1000,700000,700000,0.062356
pod1,"[1, 1000]",1000,700000,700000,0.058695
pod1,"[1, 1000]",1000,700000,700000,0.059316
pod1,"[1, 1000]",1000,700000,700000,0.057805
pod1,"[1, 1000]",1000,700000,700000,0.059116
pod1,"[1, 1000]",1000,700000,700000,0.057675
pod1,"[1, 1000]",1000,700000,700000,0.057519
pod1,"[1, 1000]",1000,700000,700000,0.059832
pod1,"[1, 1000]",1000,700000,700000,0.060807
pod1,"[1, 1000]",1000,700000,700000,0.057691
pod1,"[1, 1000]",1000,700000,700000,0.057967
pod1,"[1, 1000]",1000,700000,700000,0.057222
pod1,"[1, 1000]",1000,700000,700000,0.05687
pod1,"[1, 1000]",1000,700000,700000,0.055869
pod1,"[1, 1000]",1000,700000,700000,0.057869
pod1,"[1, 1000]",1000,700000,700000,0.056882
pod1,"[1, 1000]",1000,700000,700000,0.057303
pod1,"[1, 1000]",1000,700000,700000,0.057012
pod1,"[1, 1000]",1000,700000,700000,0.056519
ㅗpod1,"[10, 10000]",9991,1800000,1800000,0.197082
pod1,"[10, 10000]",9991,1800000,1800000,0.192581
pod1,"[10, 10000]",9991,1800000,1800000,0.195782
pod1,"[10, 10000]",9991,1800000,1800000,0.19334
pod1,"[10, 10000]",9991,1800000,1800000,0.191586
pod1,"[10, 10000]",9991,1800000,1800000,0.199023
pod1,"[10, 10000]",9991,1800000,1800000,0.194816
pod1,"[10, 10000]",9991,1800000,1800000,0.191465
pod1,"[10, 10000]",9991,1800000,1800000,0.193341
pod1,"[10, 10000]",9991,1800000,1800000,0.193642
pod1,"[10, 10000]",9991,1800000,1800000,0.191215
pod1,"[10, 10000]",9991,1800000,1800000,0.193487
pod1,"[10, 10000]",9991,1800000,1800000,0.203022
pod1,"[10, 10000]",9991,1800000,1800000,0.198595
pod1,"[10, 10000]",9991,1800000,1800000,0.193021
pod1,"[10, 10000]",9991,1800000,1800000,0.19455
pod1,"[10, 10000]",9991,1800000,1800000,0.192276
pod1,"[10, 10000]",9991,1800000,1800000,0.190369
pod1,"[10, 10000]",9991,1800000,1800000,0.199991
pod1,"[10, 10000]",9991,1800000,1800000,0.20445
pod1,"[10, 10000]",9991,1800000,1800000,0.192176
pod1,"[10, 10000]",9991,1800000,1800000,0.19533
pod1,"[10, 10000]",9991,1800000,1800000,0.192338
pod1,"[10, 10000]",9991,1800000,1800000,0.192071
pod1,"[10, 10000]",9991,1800000,1800000,0.19367
pod1,"[10, 10000]",9991,1800000,1800000,0.194122
pod1,"[10, 10000]",9991,1800000,1800000,0.195532
pod1,"[10, 10000]",9991,1800000,1800000,0.193439
pod1,"[10, 10000]",9991,1800000,1800000,0.19694
pod1,"[10, 10000]",9991,1800000,1800000,0.193816
pod1,"[10, 10000]",9991,1800000,1800000,0.192102
pod1,"[10, 10000]",9991,1800000,1800000,0.199806
pod1,"[10, 10000]",9991,1800000,1800000,0.192158
pod1,"[10, 10000]",9991,1800000,1800000,0.192048
pod1,"[10, 10000]",9991,1800000,1800000,0.194427
pod1,"[10, 10000]",9991,1800000,1800000,0.198151
pod1,"[10, 10000]",9991,1800000,1800000,0.192063
pod1,"[10, 10000]",9991,1800000,1800000,0.1908
pod1,"[10, 10000]",9991,1800000,1800000,0.196216
pod1,"[10, 10000]",9991,1800000,1800000,0.198387
pod1,"[10, 10000]",9991,1800000,1800000,0.194615
pod1,"[10, 10000]",9991,1800000,1800000,0.195425
pod1,"[10, 10000]",9991,1800000,1800000,0.194379
pod1,"[10, 10000]",9991,1800000,1800000,0.193449
pod1,"[10, 10000]",9991,1800000,1800000,0.193583
pod1,"[10, 10000]",9991,1800000,1800000,0.195701
pod1,"[10, 10000]",9991,1800000,1800000,0.192209
pod1,"[10, 10000]",9991,1800000,1800000,0.192208
pod1,"[10, 10000]",9991,1800000,1800000,0.191869
pod1,"[10, 10000]",9991,1800000,1800000,0.191979
pod1,"[10, 10000]",9991,1800000,1800000,0.198468
pod1,"[10, 10000]",9991,1800000,1800000,0.191307
pod1,"[10, 10000]",9991,1800000,1800000,0.201655
pod1,"[10, 10000]",9991,1800000,1800000,0.193367
pod1,"[10, 10000]",9991,1800000,1800000,0.194207
pod1,"[10, 10000]",9991,1800000,1800000,0.193227
pod1,"[10, 10000]",9991,1800000,1800000,0.194354
pod1,"[10, 10000]",9991,1800000,1800000,0.195871
pod1,"[10, 10000]",9991,1800000,1800000,0.200291
pod1,"[10, 10000]",9991,1800000,1800000,0.194862
pod1,"[10, 10000]",9991,1800000,1800000,0.196891
pod1,"[10, 10000]",9991,1800000,1800000,0.197343
pod1,"[10, 10000]",9991,1800000,1800000,0.194848
pod1,"[10, 10000]",9991,1800000,1800000,0.193035
pod1,"[10, 10000]",9991,1800000,1800000,0.195261
pod1,"[10, 10000]",9991,1800000,1800000,0.196726
pod1,"[10, 10000]",9991,1800000,1800000,0.194511
pod1,"[10, 10000]",9991,1800000,1800000,0.195452
pod1,"[10, 10000]",9991,1800000,1800000,0.193997
pod1,"[10, 10000]",9991,1800000,1800000,0.198786
pod1,"[10, 10000]",9991,1800000,1800000,0.193786
pod1,"[10, 10000]",9991,1800000,1800000,0.210901
pod1,"[10, 10000]",9991,1800000,1800000,0.200609
pod1,"[10, 10000]",9991,1800000,1800000,0.198084
pod1,"[10, 10000]",9991,1800000,1800000,0.198926
pod1,"[10, 10000]",9991,1800000,1800000,0.199273
pod1,"[101, 10001]",9901,1800000,1800000,0.195401
pod1,"[101, 10001]",9901,1800000,1800000,0.198351
pod1,"[101, 10001]",9901,1800000,1800000,0.193139
pod1,"[101, 10001]",9901,1800000,1800000,0.191872
pod1,"[101, 10001]",9901,1800000,1800000,0.194709
